TIME,SPEED,RPM,Intake Temp.,MAF (g/s),Engine Load,Fuel Rail Press.,AFR,Long B2 Trim,Timing Adv.,Coolant Temp.
2023-08-04 23:47:19.219092,0,0,0,0,0,0,0,0,0,0
2023-08-04 23:47:19.470333,0,0,0,0,0,0,0,0,0,0
2023-08-04 23:47:19.721257,0,0,0,0,0,0,0,0,0,0
2023-08-04 23:47:19.972155,0,0,0,0,0,0,0,0,0,0
2023-08-04 23:47:20.223096,0,0,0,0,0,0,0,0,0,0
2023-08-04 23:47:20.473952,0,0,0,0,0,0,0,0,0,0
2023-08-04 23:47:20.724806,0,0,0,0,0,0,0,0,0,0
2023-08-04 23:47:20.975658,0,0,0,0,0,0,0,0,0,0
2023-08-04 23:47:21.226509,0,0,0,0,0,0,0,0,0,0
2023-08-04 23:47:21.477389,0,0,0,0,0,0,0,0,0,0
2023-08-04 23:47:21.728222,0,0,0,0,0,0,0,0,0,0
2023-08-04 23:47:21.979087,0,0,0,0,0,0,0,0,0,0
2023-08-04 23:47:22.229941,0,0,0,0,0,0,0,0,0,0
2023-08-04 23:47:22.480789,0,0,0,0,0,0,0,0,0,0
2023-08-04 23:47:22.731664,0,0,0,0,0,0,0,0,0,0
2023-08-04 23:47:22.982659,0,0,0,0,0,0,0,0,0,0
2023-08-04 23:47:23.233581,0,0,0,0,0,0,0,0,0,0
2023-08-04 23:47:23.484408,0,0,0,0,0,0,0,0,0,0
2023-08-04 23:47:23.735230,0,0,0,0,0,0,0,0,0,0
2023-08-04 23:47:23.986114,0,0,0,0,0,0,0,0,0,0
2023-08-04 23:47:24.236956,0,0,0,0,0,0,0,0,0,0
2023-08-04 23:47:24.487821,0,0,0,0,0,0,0,0,0,0
2023-08-04 23:47:24.738642,0,0,0,0,0,0,0,0,0,0
2023-08-04 23:47:24.989553,0,0,0,0,0,0,0,0,0,0
2023-08-04 23:47:25.240434,0,0,0,0,0,0,0,0,0,0
2023-08-04 23:47:25.491272,0,0,0,0,0,0,0,0,0,0
2023-08-04 23:47:25.742112,0,0,0,0,0,0,0,0,0,0
2023-08-04 23:47:25.992942,0,0,0,0,0,0,0,0,0,0
2023-08-04 23:47:26.243818,0,0,0,0,0,0,0,0,0,0
2023-08-04 23:47:26.494690,0,0,0,0,0,0,0,0,0,0
2023-08-04 23:47:26.745580,0,0,0,0,0,0,0,0,0,0
2023-08-04 23:47:26.996410,0,0,0,0,0,0,0,0,0,0
2023-08-04 23:47:27.247254,0,0,0,0,0,0,0,0,0,0
2023-08-04 23:47:27.498093,0,0,0,0,0,0,0,0,0,0
2023-08-04 23:47:27.748891,0,0,0,0,0,0,0,0,0,0
2023-08-04 23:47:27.999708,0,0,0,0,0,0,0,0,0,0
